category,kind,title,quantity,limit,verified,unit,mode
procurement,purchase_order,Purchase order,ordered_units,approved_units,vendor_verified,units,reserve
procurement,service_order,Service order,service_hours,contract_hours,provider_qualified,hours,reserve
procurement,capital_request,Capital expenditure request,capital_cents,capital_budget_cents,investment_reviewed,cents,reserve
procurement,vendor_rebate,Vendor rebate claim,rebate_cents,eligible_spend_cents,rebate_verified,cents,credit
procurement,tender_award,Tender award,award_cents,tender_ceiling_cents,bid_evaluated,cents,reserve
procurement,procurement_credit,Procurement credit note,credit_cents,received_value_cents,return_verified,cents,credit
sales,sales_order,Sales order,sold_units,available_units,customer_verified,units,reserve
sales,sales_quote,Sales quote,quoted_cents,pricing_authority_cents,margin_reviewed,cents,reserve
sales,customer_refund,Customer refund,refund_cents,settled_payment_cents,refund_eligible,cents,reserve
sales,sales_commission,Sales commission claim,commission_cents,commission_pool_cents,sale_settled,cents,credit
sales,channel_incentive,Channel incentive claim,incentive_points,earned_points,channel_qualified,points,credit
sales,credit_sale,Credit sale application,credit_exposure_cents,credit_limit_cents,credit_checked,cents,reserve
finance,supplier_invoice,Supplier invoice,payable_cents,matched_receipt_cents,invoice_matched,cents,reserve
finance,customer_invoice,Customer invoice,receivable_cents,delivered_value_cents,tax_validated,cents,credit
finance,expense_claim,Employee expense claim,expense_cents,expense_policy_cents,receipt_verified,cents,reserve
finance,treasury_transfer,Treasury transfer,transfer_cents,treasury_available_cents,beneficiary_verified,cents,reserve
finance,bad_debt,Bad debt writeoff,writeoff_cents,overdue_balance_cents,collection_exhausted,cents,reserve
finance,interest_accrual,Interest accrual,interest_cents,accrual_limit_cents,rate_verified,cents,credit
hr,leave_request,Employee leave request,leave_hours,leave_balance_hours,coverage_confirmed,hours,reserve
hr,overtime_claim,Overtime claim,overtime_hours,overtime_limit_hours,manager_attested,hours,credit
hr,training_request,Employee training request,training_seats,training_capacity,course_accredited,seats,reserve
hr,relocation_claim,Employee relocation claim,relocation_cents,relocation_allowance_cents,mobility_eligible,cents,reserve
hr,salary_adjustment,Salary increase request,salary_delta_cents,pay_band_headroom_cents,compensation_reviewed,cents,credit
hr,recruiting_request,Recruiting headcount request,positions,approved_headcount,workforce_plan_verified,positions,reserve
inventory,stock_receipt,Warehouse stock receipt,received_units,expected_receipt_units,delivery_inspected,units,credit
inventory,stock_issue,Warehouse stock issue,issued_units,on_hand_units,pick_verified,units,reserve
inventory,cycle_count,Positive cycle count adjustment,found_units,count_tolerance_units,recount_confirmed,units,credit
inventory,stock_scrap,Inventory scrap request,scrapped_units,quarantined_units,scrap_authorized,units,reserve
inventory,stock_reservation,Inventory reservation,reserved_units,allocatable_units,demand_validated,units,reserve
inventory,consignment_return,Consignment return,returned_units,consigned_units,owner_acknowledged,units,credit
manufacturing,production_order,Production order,planned_batches,available_batch_capacity,bom_released,batches,reserve
manufacturing,material_requisition,Production material requisition,material_kilograms,available_kilograms,lot_released,kilograms,reserve
manufacturing,finished_receipt,Finished goods receipt,finished_units,planned_output_units,quality_released,units,credit
manufacturing,rework_order,Rework order,rework_hours,rework_capacity_hours,disposition_approved,hours,reserve
manufacturing,tooling_request,Tooling request,tooling_cycles,tool_life_cycles,tool_certified,cycles,reserve
manufacturing,yield_recovery,Yield recovery adjustment,recovered_units,recoverable_units,recovery_validated,units,credit
logistics,shipment_booking,Shipment booking,booked_pallets,vehicle_pallet_capacity,carrier_licensed,pallets,reserve
logistics,freight_claim,Freight damage claim,damage_cents,insured_freight_cents,damage_documented,cents,credit
logistics,customs_release,Customs release request,declared_packages,cleared_packages,duties_settled,packages,reserve
logistics,dock_reservation,Loading dock reservation,dock_minutes,open_dock_minutes,safety_slot_confirmed,minutes,reserve
logistics,delivery_acceptance,Delivery acceptance,accepted_packages,manifest_packages,proof_of_delivery,packages,credit
logistics,container_return,Container return,returned_containers,leased_containers,depot_inspected,containers,credit
facilities,room_booking,Meeting room booking,attendee_seats,room_capacity,access_window_valid,seats,reserve
facilities,repair_request,Facility repair request,repair_hours,maintenance_hours,site_access_confirmed,hours,reserve
facilities,utility_credit,Utility billing credit,credited_kwh,disputed_kwh,meter_reconciled,kwh,credit
facilities,parking_permit,Parking permit request,parking_days,permit_day_balance,vehicle_registered,days,reserve
facilities,space_allocation,Office space allocation,allocated_desks,vacant_desks,team_eligible,desks,reserve
facilities,waste_collection,Waste collection booking,waste_kilograms,licensed_capacity_kilograms,manifest_valid,kilograms,reserve
it,compute_allocation,Compute capacity allocation,cpu_hours,cpu_quota_hours,workload_approved,cpu_hours,reserve
it,storage_allocation,Storage allocation,storage_gigabytes,storage_quota_gigabytes,data_classified,gigabytes,reserve
it,license_assignment,Software license assignment,assigned_seats,purchased_seats,license_terms_accepted,seats,reserve
it,security_exception,Security exception request,exception_days,risk_acceptance_days,security_reviewed,days,reserve
