sh scripts/verify.sh
all modules verified
ok  	lerna/adapters/arkmodel	1.058s
?   	lerna/adapters/authlocal	[no test files]
?   	lerna/adapters/catalogauth	[no test files]
?   	lerna/adapters/cataloglocal	[no test files]
ok  	lerna/adapters/checkpointfile	1.078s
?   	lerna/adapters/contentlocal	[no test files]
?   	lerna/adapters/contentpolicy	[no test files]
ok  	lerna/adapters/contextmemory	1.024s
?   	lerna/adapters/contextpolicy	[no test files]
?   	lerna/adapters/credentialauth	[no test files]
ok  	lerna/adapters/credentialbackups	1.051s
?   	lerna/adapters/credentialexecution	[no test files]
ok  	lerna/adapters/credentialhttp	1.095s
?   	lerna/adapters/doubaosearch	[no test files]
?   	lerna/adapters/duckduckgo	[no test files]
?   	lerna/adapters/executioncontent	[no test files]
?   	lerna/adapters/executionlocal	[no test files]
?   	lerna/adapters/executionrouter	[no test files]
ok  	lerna/adapters/extractionauth	1.182s
?   	lerna/adapters/extractioncleanup	[no test files]
ok  	lerna/adapters/extractionexecution	1.202s
?   	lerna/adapters/extractioninputs	[no test files]
ok  	lerna/adapters/extractionsourceguard	1.111s
?   	lerna/adapters/fetchauth	[no test files]
?   	lerna/adapters/fetchcontent	[no test files]
?   	lerna/adapters/fetchcontext	[no test files]
?   	lerna/adapters/fetchexecution	[no test files]
?   	lerna/adapters/fetchoutput	[no test files]
?   	lerna/adapters/fetchqueries	[no test files]
?   	lerna/adapters/fetchtask	[no test files]
?   	lerna/adapters/filecontent	[no test files]
ok  	lerna/adapters/filekeys	1.259s
ok  	lerna/adapters/httpfetch	4.098s
ok  	lerna/adapters/josegrant	1.013s
?   	lerna/adapters/jsonsearch	[no test files]
ok  	lerna/adapters/localextraction	1.025s
ok  	lerna/adapters/localextractionsource	1.030s
ok  	lerna/adapters/memoryauth	11.022s
ok  	lerna/adapters/memorycleanup	1.594s
?   	lerna/adapters/memorylocal	[no test files]
ok  	lerna/adapters/recoveryproof	1.270s
?   	lerna/adapters/replayfetch	[no test files]
?   	lerna/adapters/researchcontext	[no test files]
?   	lerna/adapters/researchlineage	[no test files]
?   	lerna/adapters/searchcontext	[no test files]
?   	lerna/adapters/searchexecution	[no test files]
?   	lerna/adapters/searchprivacy	[no test files]
?   	lerna/adapters/simapi	[no test files]
?   	lerna/adapters/simjob	[no test files]
ok  	lerna/adapters/simresource	1.094s
ok  	lerna/adapters/simworkflow	1.090s
?   	lerna/adapters/sqliteauth	[no test files]
?   	lerna/adapters/sqlitecatalog	[no test files]
ok  	lerna/adapters/sqlitecontentpolicy	1.055s
ok  	lerna/adapters/sqlitecontext	5.290s
ok  	lerna/adapters/sqlitecredentials	1.066s
ok  	lerna/adapters/sqliteextraction	3.526s
ok  	lerna/adapters/sqlitefetch	1.425s
ok  	lerna/adapters/sqlitememory	25.101s
?   	lerna/adapters/taskcontent	[no test files]
ok  	lerna/adapters/taskcontext	1.106s
?   	lerna/adapters/tasklocal	[no test files]
?   	lerna/answers	[no test files]
ok  	lerna/artifacts	3.971s
ok  	lerna/authorization	3.099s
ok  	lerna/brain	1.033s
ok  	lerna/catalog	1.122s
ok  	lerna/cleanup	1.023s
?   	lerna/cmd/answercheck	[no test files]
?   	lerna/cmd/apicheck	[no test files]
ok  	lerna/cmd/authctl	1.420s
?   	lerna/cmd/contextcheck	[no test files]
ok  	lerna/cmd/contractcheck	425.757s
ok  	lerna/cmd/credentialctl	3.094s
?   	lerna/cmd/extractioncheck	[no test files]
?   	lerna/cmd/fetchcheck	[no test files]
ok  	lerna/cmd/searchcheck	23.064s
ok  	lerna/conformance	1.012s
ok  	lerna/contextassembly	2.797s
?   	lerna/contractfixture	[no test files]
ok  	lerna/credentials	1.661s
?   	lerna/examples/sdk	[no test files]
?   	lerna/execution	[no test files]
ok  	lerna/extraction	1.026s
?   	lerna/fetch	[no test files]
?   	lerna/gen/harness/v1	[no test files]
?   	lerna/internal/catalogwire	[no test files]
?   	lerna/internal/executionwire	[no test files]
?   	lerna/internal/jsonvalue	[no test files]
?   	lerna/internal/memorywire	[no test files]
?   	lerna/internal/randomid	[no test files]
?   	lerna/internal/taskwire	[no test files]
ok  	lerna/memory	2.188s
?   	lerna/memory/storecontract	[no test files]
ok  	lerna/profiles/answer	273.472s
ok  	lerna/profiles/asynccheck	17.407s
--- FAIL: TestActionCheckpointDoesNotDuplicateSnapshotDigests (23.60s)
    personalized_checkpoint_test.go:273: checkpoint: exit status 1 --- FAIL: TestPersonalizedActionCrashProbe (23.56s)
            personalized_process_test.go:59: PERMISSION_DENIED
        FAIL
FAIL
FAIL	lerna/profiles/catalogcheck	1827.313s
ok  	lerna/profiles/content	4.472s
?   	lerna/profiles/contextcheck	[no test files]
ok  	lerna/profiles/control	5.407s
ok  	lerna/profiles/credentialcheck	19.176s
?   	lerna/profiles/durabletasks	[no test files]
ok  	lerna/profiles/executioncheck	18.375s
ok  	lerna/profiles/extractioncheck	83.524s
ok  	lerna/profiles/fetchcheck	435.045s
ok  	lerna/profiles/grants	4.035s
?   	lerna/profiles/localauth	[no test files]
ok  	lerna/profiles/memorycheck	17.367s
ok  	lerna/profiles/sdkcontract	1.046s
ok  	lerna/profiles/searchcheck	1.040s
ok  	lerna/profiles/takeover	21.179s
ok  	lerna/profiles/updates	15.355s
ok  	lerna/profiles/worker	5.537s
?   	lerna/protocol	[no test files]
ok  	lerna/schema	1.090s
ok  	lerna/sdk	1.136s
ok  	lerna/tasks	17.476s
?   	lerna/websearch	[no test files]
FAIL
make: *** [Makefile:11: verify] Error 1
